Project_ID,Project_Name,Ministry,Sector,State,Start_Date,Target_DOC,Original_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Expenditure_Pct_of_Original_Cost,Revised_Cost_Cr,Cost_Overrun_Cr,Cost_Overrun_Pct,Cost_Overrun_Flag,Revised_DOC,Time_Overrun_Days,Time_Overrun_Months,Time_Overrun_Flag
400141,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum (National Aluminium Company Limited [NALCO]) (400141) (N10000010) (3148),Ministry of Mines,Metals & Mining,Odisha,4/1/2017,12/1/2022,4103,4920.25,94.7,119.9184,5677.4,1574.4,38.3719,1,6/1/2026,1278,41.99,1
400142,Pachwara South Coal Block (NLC India Limited [NLCIL]) (400142) (N06000193) (3135),Ministry of Coal,Coal,Jharkhand,11/1/2019,9/1/2028,2242.9,1388.09,87,61.8882,2242.9,0,0,0,,,,
400144,PORDA CHIMTAPANI OCP [10 MTY] (South Eastern Coalfields Limited [SECL]) (400144) (N06000199) (3122),Ministry of Coal,Coal,Chhattisgarh,12/1/2020,3/1/2029,2310.12,115.62,11.81,5.0049,2310.12,0,0,0,,,,
400148,AMADAND OCP[4.0MTY] (Ministry of Coal) (400148) (N06000148) (3111),Ministry of Coal,Coal,Madhya Pradesh,3/1/2016,3/1/2021,869.44,325.4,75.15,37.4264,869.44,0,0,0,3/1/2027,2191,71.98,1
400149,BAROUD OC EXPANSION [3.0-10.0M (South Eastern Coalfields Limited [SECL]) (400149) (N06000197) (3107),Ministry of Coal,Coal,Chhattisgarh,8/1/2020,3/1/2029,2309.8,999.09,55.95,43.2544,2309.8,0,0,0,,,,
400150,RPR MAGADH EXP OCP (Ministry of Coal) (400150) (N06000216) (3105),Ministry of Coal,Coal,Jharkhand,8/1/2020,3/1/2028,7254.37,1692.65,39.3,23.3328,7254.37,0,0,0,,,,
400151,NORTH URIMARI EXPANSION OCP (Ministry of Coal) (400151) (N06000218) (3103),Ministry of Coal,Coal,Jharkhand,7/1/2021,3/1/2029,778.8,606.01,68.75,77.8133,778.8,0,0,0,,,,
400153,EPR ROHINI - KARKETTA OCP (Ministry of Coal) (400153) (N06000243) (3100),Ministry of Coal,Coal,Jharkhand,1/1/2021,3/1/2028,1020.42,85.34,22.54,8.3632,1020.42,0,0,0,,,,
400154,EPR PUNDI OCP (Ministry of Coal) (400154) (N06000242) (3099),Ministry of Coal,Coal,Jharkhand,11/1/2020,3/1/2027,713.35,236.58,10.19,33.1646,713.35,0,0,0,,,,
400155,EPR ASHOK OC (Ministry of Coal) (400155) (N06000247) (3098),Ministry of Coal,Coal,Jharkhand,5/1/2021,3/1/2031,2821.07,186.02,27.51,6.594,2821.07,0,0,0,,,,
400156,EPR AMRAPALI OCP (Ministry of Coal) (400156) (N06000217) (3091),Ministry of Coal,Coal,Jharkhand,2/1/2020,3/1/2028,5136.15,1326.08,43.58,25.8186,5136.15,0,0,0,,,,
400160,RAJRAPPA RCE OCP (Ministry of Coal) (400160) (N06000087) (3084),Ministry of Coal,Coal,Jharkhand,12/1/2009,3/1/2016,510.85,488.71,76.99,95.666,510.85,0,0,0,3/1/2027,4017,131.98,1
400162,BLOCK B EXPANSION [3.5 TO 8.0 (Northern Coalfields Limited [NCL]) (400162) (N06000184) (3059),Ministry of Coal,Coal,Madhya Pradesh,7/1/2019,3/1/2023,998.71,520.97,50.39,52.1643,998.71,0,0,0,3/1/2027,1461,48,1
400165,SUBHADRA OCP (Mahanadi Coalfields Limited [MCL]) (400165) (N06000249) (3048),Ministry of Coal,Coal,Odisha,5/1/2021,4/1/2032,1693.81,1330.06,45.73,78.5247,1693.81,0,0,0,,,,
400166,SIARMAL OCP (Mahanadi Coalfields Limited [MCL]) (400166) (N06000113) (3045),Ministry of Coal,Coal,Odisha,2/1/2021,3/1/2029,5194.95,3491.21,60.27,67.2039,5194.95,0,0,0,,,,
400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset] (Oil and Natural Gas Corporation Limited [ONGC]) (400167) (N16000279) (3042),Ministry of Petroleum & Natural Gas,Oil & Gas,Gujarat,2/1/2017,3/1/2026,1162.56,1113.19,95.9,95.7533,1162.56,0,0,0,12/1/2026,275,9.03,1
400168,"500 KTA PDHPP Project, Usar (Ministry of Petroleum & Natural Gas) (400168) (N16000430) (3026)",Ministry of Petroleum & Natural Gas,Oil & Gas,Maharashtra,4/1/2021,4/1/2025,8797,8113.66,91.1,92.2321,11256,2459,27.9527,1,6/1/2027,791,25.99,1
400169,Redevelopment of Linch Field (Oil and Natural Gas Corporation Limited [ONGC]) (400169) (N16000428) (3040),Ministry of Petroleum & Natural Gas,Oil & Gas,Gujarat,4/1/2021,3/1/2025,631.03,617.71,91,97.8892,845.42,214.39,33.9746,1,7/1/2026,487,16,1
400171,2G Ethanol Biorefinery at Bathinda (Hindustan Petroleum Corporation Limited [HPCL]) (400171) (N16000402) (3028),Ministry of Petroleum & Natural Gas,Oil & Gas,Punjab,5/1/2020,2/1/2023,1421.46,1266.71,95.8,89.1133,1421.46,0,0,0,12/1/2026,1399,45.96,1
400172,CHITRA EAST OC (Eastern Coal Fields Limited [ECL]) (400172) (N06000169) (3032),Ministry of Coal,Coal,Jharkhand,8/1/2018,3/1/2026,513.99,240.12,53.03,46.7169,513.99,0,0,0,3/1/2028,731,24.02,1
400173,MOHANPUR EXPANSION OC -PHASE I (Eastern Coal Fields Limited [ECL]) (400173) (N06000236) (3029),Ministry of Coal,Coal,West Bengal,11/1/2020,3/1/2026,888.99,142.98,31.52,16.0834,888.99,0,0,0,3/1/2030,1461,48,1
400174,"New Sinter Plant at BSL, SAIL (Steel Authority of India Limited [SAIL]) (400174) (N12000095) (3020)",Ministry of Steel,Steel,Jharkhand,10/1/2015,10/1/2017,1034.01,1006.59,64,97.3482,1752.3,718.29,69.4664,1,6/1/2027,3530,115.98,1
400177,AMALGAMATED YEKONA I & YEKONA (Western Coalfields Limited [WCL]) (400177) (N06000132) (3012),Ministry of Coal,Coal,Maharashtra,8/1/2015,3/1/2025,727.28,563.23,80.77,77.4434,727.28,0,0,0,3/1/2026,365,11.99,1
400178,DINESH[MAKARDHOKRA-III] OC (Western Coalfields Limited [WCL]) (400178) (N06000222) (3008),Ministry of Coal,Coal,Maharashtra,2/1/2020,3/1/2027,822.88,649.83,40.63,78.9702,822.88,0,0,0,,,,
400180,BONJEMEHARI EXPANSION OCP (Eastern Coal Fields Limited [ECL]) (400180) (N06000244) (3004),Ministry of Coal,Coal,West Bengal,8/1/2021,3/1/2026,570.11,88.78,17.1,15.5724,570.11,0,0,0,3/1/2030,1461,48,1
400181,NAKRAKONDA KUMARDIH- B OCP (Eastern Coal Fields Limited [ECL]) (400181) (N06000170) (3001),Ministry of Coal,Coal,West Bengal,8/1/2018,3/1/2029,502.68,83.94,27.52,16.6985,502.67,-0.01,-0.002,0,,,,
400183,BALARAM EXPANSION OCP (Mahanadi Coalfields Limited [MCL]) (400183) (N06000230) (2997),Ministry of Coal,Coal,Odisha,8/1/2020,3/1/2029,3504.21,958,58,27.3385,3504.21,0,0,0,,,,
400185,GOPALJI KANIHA OCP [10 TO 30 M (MCL - CIL) (400185) (N06000229) (2994),Ministry of Coal,Coal,Odisha,4/1/2022,3/1/2030,8416.19,1774.72,35.03,21.087,6107.87,-2308.32,-27.4271,0,,,,
400186,TILABONI UG (Eastern Coal Fields Limited [ECL]) (400186) (N06000276) (2989),Ministry of Coal,Coal,West Bengal,1/1/2023,3/1/2029,749.08,53.97,11.91,7.2048,749.07,-0.01,-0.0013,0,,,,
400187,INTEGRATED LAKHANPUR-BELPAHAR- (Mahanadi Coalfields Limited [MCL]) (400187) (N06000167) (2986),Ministry of Coal,Coal,Odisha,5/1/2018,3/1/2027,2434.75,2004.49,82.16,82.3284,2434.75,0,0,0,,,,
400188,Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies in Delhi (National Buildings Construction Corporation [NBCC]) (400188) (-) (2914),Ministry of Housing & Urban Affairs,Real Estate,Delhi,5/1/2018,12/1/2025,32850,14370.45,46.7,43.7457,32841,-9,-0.0274,0,12/1/2025,0,0,0
400192,Tubed Coal Mine (Damodar Valley Corporation) (400192) (-) (2418),Ministry of Power,Coal,Jharkhand,10/1/2016,5/1/2026,1581,601.6,36,38.0519,1581,0,0,0,5/1/2026,0,0,0
400203,Dharamjaigarh-Korba (Railway) (400203) (-) (2277),Ministry of Coal,Railways,Chhattisgarh,3/1/2017,12/1/2026,1686.22,625.77,43.5,37.1108,2438.53,752.31,44.6152,1,8/1/2026,-122,-4.01,0
400204,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar (North Eastern Railway [NER]) (400204) (N22000569) (2271),Ministry of Railways,Railways,Uttar Pradesh,3/1/2017,10/1/2030,4939.78,1065.82,13,21.5763,4939.78,0,0,0,10/1/2030,0,0,0
400205,Sahjanwa-Dohrighat (North Eastern Railway [NER]) (400205) (N22000565) (2270),Ministry of Railways,Railways,Uttar Pradesh,3/1/2017,3/1/2029,1319.75,522.12,4.1,39.562,1319.75,0,0,0,3/1/2029,0,0,0
400220,Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1] (Indian Railway Construction International Limited [IRCON]) (400220) (N22000489) (2094),Ministry of Railways,Railways,Chhattisgarh,1/1/2014,9/1/2018,3055,2730.19,95.15,89.3679,3798.06,743.06,24.3227,1,12/1/2026,3013,98.99,1
400223,Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line (Ministry of Railways) (400223) (N22000626) (2081),Ministry of Railways,Railways,"Multi-States (Puducherry, Tamil Nadu)",1/1/2019,3/1/2027,713,636.83,80,89.317,981,268,37.5877,1,3/1/2028,366,12.02,1
400231,NLC Talabira Thermal Power Project (NLC India Limited [NLCIL]) (400231) (N06000270) (2059),Ministry of Coal,Electricity Generation,Odisha,1/1/2024,3/1/2030,27212.96,3455.88,2.1,12.6994,27213,0.04,0.0001,1,,,,
400232,Brundamal-Jharsuguda- flyover connection for joining downline (East Coast Railway [ECoR] - II) (400232) (N22000521) (2015),Ministry of Railways,Railways,Odisha,1/1/2014,12/1/2026,297,235.1,55,79.1582,297,0,0,0,12/1/2026,0,0,0
400247,Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line And Naihati-Ranaghat 3rd Line. (Eastern Railway [ER] - I) (400247) (N22000624) (1852),Ministry of Railways,Railways,West Bengal,11/1/2005,2/1/2027,1000,1066.85,76,106.685,1000,0,0,0,3/1/2028,394,12.94,1
400253,Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM] (RVNL - II) (400253) (N22000409) (1747),Ministry of Railways,Railways,"Multi-States (Andhra Pradesh, Odisha)",11/1/2016,12/1/2025,4803,6233.25,98,129.7783,6669.91,1866.91,38.8697,1,12/1/2026,365,11.99,1
400254,Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line (East Central Railway [ECR] - I) (400254) (-) (1731),Ministry of Railways,Railways,Bihar,8/1/1997,12/1/2024,735.2,589.37,84.2,80.1646,735.2,0,0,0,3/1/2027,820,26.94,1
400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW] (National Thermal Power Corporation [NTPC]) (400261) (N18000275) (1639),Ministry of Power,Electricity Generation,Jharkhand,11/1/2017,3/1/2023,18668,19064.59,90.2,102.1244,20302,1634,8.7529,1,4/1/2027,1492,49.02,1
400271,Wardha-Nanded Via Yavatmal New BG Line (Central Railway [CR] - II) (400271) (N22000231) (1557),Ministry of Railways,Railways,Maharashtra,4/1/2008,3/1/2025,3445,3002.93,50,87.1678,3445,0,0,0,12/1/2026,640,21.03,1
400273,Tarakeshwar-Bishnupur New Line [82.47 km] (Eastern Railway [ER] - I) (400273) (220100272) (1552),Ministry of Railways,Railways,West Bengal,2/1/2008,3/1/2019,1189,1390.59,96.9,116.9546,1542,353,29.6888,1,2/1/2026,2529,83.09,1
400275,Tindivanam-Nagari New Line Project [184.5 km] (Ministry of Railways) (400275) (N22000085) (1549),Ministry of Railways,Railways,"Multi-States (Andhra Pradesh, Tamil Nadu)",10/1/2008,9/1/2025,3631,1298.17,16.75,35.7524,3631,0,0,0,3/1/2028,912,29.96,1
400277,Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway (RVNL - II) (400277) (N22000110) (1539),Ministry of Railways,Railways,West Bengal,10/1/2011,12/1/2025,8964,8733.02,87,97.4232,8964,0,0,0,12/1/2027,730,23.98,1
400280,Phase II extension of MRTS from Velachery to St Thomas Mount (Ministry of Railways) (400280) (N22000028) (1509),Ministry of Railways,Railways,Tamil Nadu,11/1/2008,7/1/2025,734,486.53,99.9,66.2847,734.01,0.01,0.0014,1,9/1/2025,62,2.04,1
400291,Doubling of Kirandul-Jagdalpur Line [150 km] (East Coast Railway [ECoR] - II) (400291) (N22000318) (1456),Ministry of Railways,Railways,Chhattisgarh,3/1/2013,3/1/2020,1589,1656.54,97.6,104.2505,1798,209,13.1529,1,4/1/2027,2587,84.99,1
400298,Nadikudi - Srikalahasti New Line (South Central Railway [SCR] - II) (400298) (N22000286) (1204),Ministry of Railways,Railways,Andhra Pradesh,12/1/2016,5/1/2027,2312,3119.31,55.02,134.9183,5932,3620,156.5744,1,3/1/2028,305,10.02,1
400299,Pottangi Bauxite Mines Project (National Aluminium Company Limited [NALCO]) (400299) (N10000016) (1199),Ministry of Mines,Metals & Mining,Odisha,5/1/2018,3/1/2025,1381,770.23,52.2,55.7734,1960.77,579.77,41.9819,1,11/1/2026,610,20.04,1
400301,"Multi Product Pipeline from Irugur to Devangonthi (Department of Water Resources, River Development & GR) (400301) (N16000234) (1195)",Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Karnataka, Tamil Nadu)",11/1/2012,2/1/2017,678,1140.25,83.5,168.1785,1732,1054,155.4572,1,9/1/2026,3499,114.96,1
400312,JHANJRA EXPANSION UG (Eastern Coal Fields Limited [ECL]) (400312) (N06000223) (995),Ministry of Coal,Coal,West Bengal,4/1/2020,3/1/2029,1210.12,628.68,52.04,51.9519,1210.12,0,0,0,,,,
400315,SONEPUR BAZARI EXPANSION OCP [ (Eastern Coal Fields Limited [ECL]) (400315) (N06000220) (966),Ministry of Coal,Coal,West Bengal,7/1/2021,3/1/2029,5365.88,627.89,18.47,11.7015,5365.88,0,0,0,,,,
400321,NIGAHI EXPANSION [15 TO 25 MTP (Northern Coalfields Limited [NCL]) (400321) (N06000196) (943),Ministry of Coal,Coal,Madhya Pradesh,11/1/2020,3/1/2025,1729.68,943.02,53.73,54.5199,1729.68,0,0,0,3/1/2028,1096,36.01,1
400352,JHARKHAND-LAIYO OCP (Ministry of Coal) (400352) (N06000240) (778),Ministry of Coal,Coal,Jharkhand,8/1/2020,3/1/2031,764.57,145.81,29.39,19.0709,764.57,0,0,0,,,,
400353,DHUPTALA OC [SASTI UG TO OC ] (Western Coalfields Limited [WCL]) (400353) (N06000209) (776),Ministry of Coal,Coal,Maharashtra,10/1/2021,3/1/2028,711.01,174.55,19.02,24.5496,711.01,0,0,0,,,,
400354,DIPKA EXPANSION OCP [40 MTY] (South Eastern Coalfields Limited [SECL]) (400354) (N06000200) (771),Ministry of Coal,Coal,Chhattisgarh,12/1/2020,3/1/2029,5241.4,2918.21,39.34,55.6762,5241.4,0,0,0,,,,
400369,BINA KAKRI AMALGAMATION EXPANS (Northern Coalfields Limited [NCL]) (400369) (N06000192) (612),Ministry of Coal,Coal,"Multi-States (Madhya Pradesh, Uttar Pradesh)",8/1/2020,3/1/2024,836.42,835.51,92.05,99.8912,836.42,0,0,0,3/1/2027,1095,35.98,1
400382,Rewas Port Project (Reliance Industries Ltd) (400382) (-) (551),"Ministry of Ports, Shipping and Waterways",Shipping,Maharashtra,1/1/2020,3/1/2023,6000,5999.89,88,99.9982,6000,0,0,0,,,,
400392,BHARATPUR RE-ORGANIZATION OCP (Mahanadi Coalfields Limited [MCL]) (400392) (N06000171) (501),Ministry of Coal,Coal,Odisha,11/1/2018,3/1/2029,2838.86,1713.01,52.3,60.3415,2838.86,0,0,0,,,,
400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line] (Ministry of Coal) (400416) (-) (371),Ministry of Coal,Railways,Jharkhand,5/1/2022,6/1/2025,1799.64,1713.19,71,95.1963,2564.34,764.7,42.4918,1,6/1/2027,730,23.98,1
400424,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]) (400424) (060100093) (192),Ministry of Coal,Coal,Chhattisgarh,3/1/2016,3/1/2023,11816.4,6922.36,78.48,58.5826,11816.4,0,0,0,3/1/2027,1461,48,1
400425,MOONIDIH XV SEAM UG (Bharat Coking Coal Limited (BCCL)) (400425) (N06000098) (189),Ministry of Coal,Coal,Jharkhand,8/1/2011,3/1/2019,1230.27,742.8,82.62,60.377,1230.27,0,0,0,8/1/2026,2710,89.03,1
400426,Expansion of Malanjkhand Copper Project (Hindustan Copper Limited [HCL]) (400426) (-) (160),Ministry of Mines,Metals & Mining,Madhya Pradesh,4/1/2015,4/1/2020,1856.36,979.15,23.5,52.7457,3800,1943.64,104.7017,1,3/1/2029,3256,106.97,1
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor (National Industrial Corridor Development Corporation) (601812) (-) (9939),Department for Promotion of Industry & Internal Trade,Real Estate,Telangana,2/1/2026,2/1/2029,2360,0,2.16,0,2360,0,0,0,,,,
602096,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]) (602096),Ministry of Power,Electricity Generation,"Multi-States (Assam, Arunachal Pradesh)",1/1/2005,9/1/2010,6285.33,26277.65,97.72,418.0791,26075.5,19790.17,314.8629,1,5/1/2026,5721,187.96,1
602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K (Indian Institute of Management, Jammu) (602098) (N28000130) (4869)",Department of Higher Education,Education,Jammu and Kashmir,10/1/2020,6/1/2023,424.93,484.52,96,114.0235,500.91,75.98,17.8806,1,11/1/2025,884,29.04,1
602099,"Establishment of Permanent campus Phase 1 of IIM Sirmaur (Indian Institute of Management, Sirmaur) (602099) (N42000008) (4877)",Department of Higher Education,Education,Himachal Pradesh,8/1/2020,10/1/2023,392.51,337.67,97.8,86.0284,454.78,62.27,15.8646,1,6/1/2026,974,32,1
